apv    channel    group
0    0    0
0    1    1
0    2    2
0    3    3
0    4    0
0    5    1
0    6    2
0    7    3
0    8    0
0    9    1
0    10    2
0    11    3
0    12    0
0    13    1
0    14    2
0    15    3
0    16    0
0    17    1
0    18    2
0    19    3
0    20    0
0    21    1
0    22    2
0    23    3
0    24    0
0    25    1
0    26    2
0    27    3
0    28    0
0    29    1
0    30    2
0    31    3
0    32    0
0    33    1
0    34    2
0    35    3
0    36    0
0    37    1
0    38    2
0    39    3
0    40    0
0    41    1
0    42    2
0    43    3
0    44    0
0    45    1
0    46    2
0    47    3
0    48    0
0    49    1
0    50    2
0    51    3
0    52    0
0    53    1
0    54    2
0    55    3
0    56    0
0    57    1
0    58    2
0    59    3
0    60    0
0    61    1
0    62    2
0    63    3
0    64    0
0    65    1
0    66    2
0    67    3
0    68    0
0    69    1
0    70    2
0    71    3
0    72    0
0    73    1
0    74    2
0    75    3
0    76    0
0    77    1
0    78    2
0    79    3
0    80    0
0    81    1
0    82    2
0    83    3
0    84    0
0    85    1
0    86    2
0    87    3
0    88    0
0    89    1
0    90    2
0    91    3
0    92    0
0    93    1
0    94    2
0    95    3
0    96    0
0    97    1
0    98    2
0    99    3
0    100    0
0    101    1
0    102    2
0    103    3
0    104    0
0    105    1
0    106    2
0    107    3
0    108    0
0    109    1
0    110    2
0    111    3
0    112    0
0    113    1
0    114    2
0    115    3
0    116    0
0    117    1
0    118    2
0    119    3
0    120    0
0    121    1
0    122    2
0    123    3
0    124    0
0    125    1
0    126    2
0    127    3
1    0    0
1    1    1
1    2    2
1    3    3
1    4    0
1    5    1
1    6    2
1    7    3
1    8    0
1    9    1
1    10    2
1    11    3
1    12    0
1    13    1
1    14    2
1    15    3
1    16    0
1    17    1
1    18    2
1    19    3
1    20    0
1    21    1
1    22    2
1    23    3
1    24    0
1    25    1
1    26    2
1    27    3
1    28    0
1    29    1
1    30    2
1    31    3
1    32    0
1    33    1
1    34    2
1    35    3
1    36    0
1    37    1
1    38    2
1    39    3
1    40    0
1    41    1
1    42    2
1    43    3
1    44    0
1    45    1
1    46    2
1    47    3
1    48    0
1    49    1
1    50    2
1    51    3
1    52    0
1    53    1
1    54    2
1    55    3
1    56    0
